,Name,Genre
430,Armored Core 4,10
431,Armored Core SL: Silent Line Portable,10
432,Armored Core V,10
433,Armored Core: For Answer,10
434,Armored Core: Formula Front Extreme Battle,10
435,Armored Core: Last Raven,10
436,Armored Core: Last Raven Portable,10
437,Armored Core: Master of Arena,10
438,Armored Core: Nexus,10
439,Armored Core: Nine Breaker,10
440,Armored Core: Project Phantasma,10
441,Armored Core: Silent Line,10
442,Armored Core: Verdict Day,9
443,Armorines: Project S.W.A.R.M.,1
444,Army Corps of Hell,1
445,Army Men 3D,1
446,Army Men World War: Final Front,1
447,"Army Men World War: Land, Sea, Air",1
448,Army Men World War: Team Assault,1
449,Army Men: Air Attack,1
450,Army Men: Air Attack 2,1
451,Army Men: Air Combat,9
452,Army Men: Air Combat - The Elite Missions,1
453,Army Men: Green Rogue,9
454,Army Men: Major Malfunction,12
455,Army Men: RTS,1
456,Army Men: Sarge's Heroes,9
457,Army Men: Sarge's Heroes 2,9
458,Army Men: Sarge's War,9
459,Army Men: Soldiers of Misfortune,9
460,Army Rescue,9
461,Army of Two,9
462,Army of Two: The 40th Day,9
463,Army of Two: The Devil's Cartel,1
464,Around the World in 80 Days,1
465,Arslan: The Warriors of Legend,4
466,Art Academy,4
467,Art Academy: Home Studio,1
468,Art Academy: Lessons for Everyone,3
469,Art of Fighting 3: The Path of the Warrior,3
470,Art of Fighting Anthology,2
471,Arthur and the Invisibles,7
472,Arthur! Ready to Race,8
473,Arx Fatalis,11
474,Ashes Cricket 2009,7
475,Asphalt 3D,1
476,Asphalt: Injection,7
477,Asphalt: Urban GT,7
478,Asphalt: Urban GT 2,2
479,Assassin's Creed,1
480,Assassin's Creed Chronicles,1
481,Assassin's Creed Chronicles: China,1
482,Assassin's Creed II,1
483,Assassin's Creed II: Discovery,1
484,Assassin's Creed III,1
485,Assassin's Creed III: Liberation,1
486,Assassin's Creed IV: Black Flag,1
487,Assassin's Creed Syndicate,5
488,Assassin's Creed: Altair's Chronicles,1
489,Assassin's Creed: Bloodlines,1
490,Assassin's Creed: Brotherhood,1
491,Assassin's Creed: Revelations,1
492,Assassin's Creed: Rogue,1
493,Assassin's Creed: Unity,1
494,Assassination Classroom: Grand Siege on Kuro-sensei,1
495,Assault,1
496,Assault Rigs,9
497,Assault Suit Leynos,1
498,Assault: Retribution,7
499,Assetto Corsa,1
500,Asterix & Obelix: Kick Buttix,9
501,Asteroids,9
502,Asteroids Hyper 64,8
503,Astonishia Story,1
504,Astro Boy,1
505,Astro Boy: Omega Factor,1
506,Astro Boy: The Video Game,1
507,Astroblast,4
508,Astrology DS,1
509,Asura's Wrath,4
510,Atari Anniversary Advance,4
511,Atari Anniversary Edition Redux,4
512,Atari Anthology,4
513,Atari Classics Evolved,4
514,Atari's Greatest Hits: Volume 1,4
515,Atari's Greatest Hits: Volume 2,8
516,Atelier Annie: Alchemists of Sera Island,8
517,Atelier Ayesha: The Alchemist of Dusk,8
518,Atelier Escha & Logy: Alchemists of the Dusk Sky,8
519,Atelier Iris 2: The Azoth Of Destiny,8
